Comment,Designator,Footprint,JLCPCB Part #
Hirose FH12-30S-0.5SH(55),J320,Connector_FFC-FPC:Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,C506793
"Jiangsu Changjing Electronics Technology Co., Ltd. 1N4148WS","D320,D321,D322,D323,D324,D325,D326,D327,D328,D329,D330,D331,D332,D333,D334,D335,D336,D337,D338,D339,D340,D341,D342,D343,D344,D345,D346,D347,D348,D349,D350,D351,D352,D353,D354,D355,D356,D357,D358,D359,D360,D361,D362,D363,D364,D365,D366,D367,D368,D369,D370,D371,D372,D373,D374,D375,D376,D377,D378,D379,D380,D381,D382,D383,D384",ducktop2:D_SOD-323_JSCJ_1N4148WS,C2128
