Comment,Designator,Footprint,JLCPCB Part #
1N4148WS 100V switching diode,"D320,D321,D322,D323,D324,D325,D326,D327,D328,D329,D330,D331,D332,D333,D334,D335,D336,D337,D338,D339,D340,D341,D342,D343,D344,D345,D346,D347,D348,D349,D350,D351,D352,D353,D354,D355,D356,D357,D358,D359,D360,D361,D362,D363,D364,D365,D366,D367,D368,D369,D370,D371,D372,D373,D374,D375,D376,D377,D378,D379,D380,D381,D382,D383,D384",SOD-323,C2128
"Hirose FH12-30S-0.5SH(55), 30-pin 0.5mm bottom-contact FFC",J320,SMD 30P P0.50mm right-angle FFC,C506793
